0,Appingedam,Groningen,53.32167,6.85833,12364
1,Bierum,Groningen,53.3825,6.85972,605
2,Borgsweer,Groningen,53.29833,7.0125,125
3,Delfzijl,Groningen,53.33,6.91806,28649
4,Farmsum,Groningen,53.32167,6.92639,2185
5,Godlinze,Groningen,53.3725,6.81389,240
6,Holwierde,Groningen,53.35833,6.87361,970
7,Krewerd,Groningen,53.35417,6.84861,90
8,Losdorp,Groningen,53.37583,6.83611,150
9,Meedhuizen,Groningen,53.285,6.91111,385
10,Spijk,Groningen,53.39,6.8375,1220
11,Termunten,Groningen,53.29667,7.04583,395
12,Termunterzijl,Groningen,53.30083,7.03611,245
13,Wagenborgen,Groningen,53.25583,6.93333,1695
14,Woldendorp,Groningen,53.27333,7.03056,920
15,Garmerwolde,Groningen,53.2475,6.65,410
16,Glimmen,Groningen,53.13917,6.62917,1065
17,Groningen,Groningen,53.21917,6.56667,181194
18,Haren,Groningen,53.17209,6.60931,9375
19,Harkstede,Groningen,53.21333,6.69861,2490
20,Lageland,Groningen,53.23648,6.71398,0
21,Lellens,Groningen,53.30083,6.70972,50
22,Meerstad,Groningen,53.22176,6.65179,0
23,Noordlaren,Groningen,53.12083,6.66667,390
24,Onnen,Groningen,53.15667,6.64167,470
25,"Sint Annen",Groningen,53.2975,6.66528,0
26,"Ten Boer",Groningen,53.27583,6.69444,4355
27,"Ten Post",Groningen,53.2975,6.72778,680
28,Thesinge,Groningen,53.26833,6.65139,440
29,Winneweer,Groningen,53.31,6.74583,0
30,Woltersum,Groningen,53.27083,6.73194,320
31,Adorp,Groningen,53.275,6.53333,515
32,Baflo,Groningen,53.3625,6.51389,1730
33,Bedum,Groningen,53.30083,6.60278,7765
34,"Den Andel",Groningen,53.3925,6.50833,385
35,Eemshaven,Groningen,53.44167,6.83899,0
36,Eenrum,Groningen,53.3625,6.45833,1365
37,Eppenhuizen,Groningen,53.38083,6.69722,50
38,Hornhuizen,Groningen,53.38833,6.36111,130
39,Houwerzijl,Groningen,53.33583,6.34028,175
40,Kantens,Groningen,53.36583,6.63472,650
41,Kloosterburen,Groningen,53.38667,6.39167,575
42,Lauwersoog,Groningen,53.40468,6.21418,130
43,Leens,Groningen,53.36,6.37917,1675
44,Mensingeweer,Groningen,53.35167,6.46528,135
45,Niekerk,Groningen,53.34333,6.32917,40
46,Noordwolde,Groningen,53.2725,6.58889,140
47,Oldenzijl,Groningen,53.39333,6.71389,45
48,Onderdendam,Groningen,53.33417,6.59028,510
49,Oosternieland,Groningen,53.40167,6.75556,95
50,Oudeschip,Groningen,53.43,6.82639,120
51,Pieterburen,Groningen,53.40083,6.45278,295
52,Rasquert,Groningen,53.36833,6.51667,165
53,Roodeschool,Groningen,53.42083,6.76667,875
54,Rottum,Groningen,53.3825,6.62083,80
55,Saaxumhuizen,Groningen,53.38167,6.48472,15
56,Sauwerd,Groningen,53.29333,6.53472,995
57,Schouwerzijl,Groningen,53.33167,6.45,90
58,Startenhuizen,Groningen,53.36917,6.70972,0
59,Stitswerd,Groningen,53.36167,6.6,60
60,Tinallinge,Groningen,53.35667,6.53333,55
61,Uithuizen,Groningen,53.4075,6.67083,4935
62,Uithuizermeeden,Groningen,53.41417,6.72361,2775
63,Ulrum,Groningen,53.35917,6.33333,1300
64,Usquert,Groningen,53.4025,6.61111,1275
65,Vierhuizen,Groningen,53.405,6.85972,0
66,Warffum,Groningen,53.3925,6.55833,1950
67,Warfhuizen,Groningen,53.34083,6.425,205
68,"Wehe-den Hoorn",Groningen,53.35833,6.42222,0
69,Westernieland,Groningen,53.40083,6.48333,170
70,Wetsinge,Groningen,53.30417,6.52917,0
71,Winsum,Groningen,53.33,6.52083,1365
72,Zandeweer,Groningen,53.3875,6.68333,475
73,Zoutkamp,Groningen,53.33917,6.30417,1215
74,Zuidwolde,Groningen,53.2625,6.59167,915
75,Zuurdijk,Groningen,53.33833,6.37639,100
76,"'t Zandt",Groningen,53.36667,6.77778,0
77,Eenum,Groningen,53.33833,6.78194,90
78,Garrelsweer,Groningen,53.31083,6.77083,495
79,Garsthuizen,Groningen,53.36833,6.71389,0
80,Huizinge,Groningen,53.345,6.67361,105
81,Leermens,Groningen,53.345,6.79861,190
82,Loppersum,Groningen,53.33167,6.74722,2365
83,Middelstum,Groningen,53.34667,6.64167,2105
84,Oosterwijtwerd,Groningen,53.33833,6.81389,175
85,Startenhuizen,Groningen,53.36917,6.70972,0
86,Stedum,Groningen,53.3225,6.69583,895
87,Toornwerd,Groningen,53.35417,6.63611,75
88,Westeremden,Groningen,53.34417,6.71111,330
89,Westerwijtwerd,Groningen,53.33417,6.64306,100
90,Wirdum,Groningen,53.3225,6.78472,290
